sample_id,channel_id,channel_index,raw_channel_index,channel_role,sampling_rate_hz,duration_seconds,unique_value_count,minimum_stored_unit,maximum_stored_unit,standard_deviation_stored_unit,transition_rate,median_run_samples,dc_lsb_multiple_rate
train_000119,POL AC10,133,133,seeg_ac_candidate,2000.0,60.0,3258,-162.1092987060547,203.2224578857422,50.12410335916069,0.993616613471779,1.0,0.004604051565377533
train_000119,POL AC11,134,134,seeg_ac_candidate,2000.0,60.0,3312,-166.30825805664062,210.15640258789062,52.943572504094604,0.9937166143051193,1.0,0.004528985507246377
train_000119,POL AC12,135,135,seeg_ac_candidate,2000.0,60.0,3485,-190.72239685058594,210.6444091796875,57.27711754499852,0.9936582804856707,1.0,0.00430416068866571
train_000119,POL AC13,136,136,seeg_ac_candidate,2000.0,60.0,3391,-161.91354370117188,229.78546142578125,52.97909615587969,0.993524946041217,1.0,0.0044234739015039815
train_000119,POL AC14,137,137,seeg_ac_candidate,2000.0,60.0,3401,-162.01168823242188,234.472412109375,53.50287954522576,0.9933999449995417,1.0,0.004410467509556013
train_000119,POL AC15,138,138,seeg_ac_candidate,2000.0,60.0,5880,-527.2407836914062,506.2537536621094,72.05964257317147,0.9966083050692089,1.0,0.004421768707482994
train_000119,POL AC16,139,139,seeg_ac_candidate,2000.0,60.0,3613,-168.35850524902344,242.77403259277344,56.50456032146451,0.9934666122217685,1.0,0.004151674508718516
train_000128,POL DC01,36,36,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,72.4163051206905,0.06590888257402144,2.0,1.0
train_000128,POL DC02,37,37,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,93.61251687871815,0.10520087667397228,2.0,1.0
train_000128,POL DC03,38,38,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,36.83769106946696,0.018583488195734965,2.0,1.0
train_000128,POL DC04,39,39,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,100.6900690131602,0.11985099875832299,2.0,1.0
train_000128,POL DC05,40,40,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0001500000071246177,170.5272514011883,0.3105359211326761,2.0,1.0
